,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
0,-2,6,234.2,102.8,0.6,130.8
1,-2,6,235.5,103.6,0.4,131.6
2,-2,6,248.6,106.8,1.1,140.7
3,-2,10,231.3,108.0,0.6,122.6
4,-2,10,222.7,103.3,1.0,118.4
5,-2,10,223.3,105.5,0.6,117.2
6,-2,0,271.8,105.2,0.8,165.9
7,-2,0,263.4,103.2,0.7,159.4
8,-2,0,284.9,109.1,0.5,175.4
9,-2,13,202.6,102.5,0.6,99.5
10,-2,13,206.2,103.5,0.9,101.8
11,-2,13,217.8,108.2,0.6,108.9
12,-2,0,256.8,101.1,1.6,154.1
13,-2,0,267.4,104.9,0.9,161.6
14,-2,0,261.3,102.2,0.7,158.3
15,-2,16,195.7,101.6,1.0,93.2
16,-2,16,180.5,96.2,0.9,83.4
17,-2,16,194.8,103.3,1.0,90.5
18,-2,5,241.4,104.7,0.6,136.0
19,-2,5,243.8,104.9,0.9,138.0
20,-2,5,236.7,103.3,0.5,132.8
21,-2,0,272.1,105.9,0.7,165.5
22,-2,0,259.8,101.2,0.4,158.1
23,-2,0,278.3,107.4,0.5,170.4
24,-2,2,268.0,107.6,0.6,159.9
25,-2,2,263.8,105.8,0.8,157.3
26,-2,2,262.5,106.3,0.4,155.8
27,-2,17,196.4,100.3,1.0,95.0
28,-2,17,200.6,104.8,0.6,95.2
29,-2,17,196.6,101.6,1.1,94.0
30,-2,13,197.3,100.6,0.5,96.1
31,-2,13,206.4,104.5,0.5,101.4
32,-2,13,207.8,102.8,1.0,104.1
33,-2,0,265.3,103.2,0.6,161.5
34,-2,0,262.7,103.8,0.6,158.3
35,-2,0,259.1,102.5,0.8,155.9
36,-2,4,250.5,104.3,0.7,145.5
37,-2,4,249.4,104.4,0.3,144.7
38,-2,4,234.8,100.2,0.7,133.9
39,-2,10,226.3,105.4,1.2,119.7
40,-2,10,214.3,103.3,0.7,110.4
41,-2,10,223.1,104.7,1.1,117.3
42,-2,6,253.0,107.6,0.7,144.7
43,-2,6,245.1,106.4,0.5,138.1
44,-2,6,246.5,106.6,0.7,139.2
45,-2,3,253.3,104.9,0.5,147.9
46,-2,3,236.7,99.2,0.6,136.9
47,-2,3,256.5,104.2,0.6,151.7
48,-2,13,203.5,101.6,0.7,101.1
49,-2,13,207.8,102.0,0.8,105.0
50,-2,13,214.7,106.6,0.7,107.4
51,-2,8,217.8,101.1,0.7,116.1
52,-2,8,219.3,100.4,0.6,118.3
53,-2,8,236.9,105.2,0.7,131.0
54,-2,3,250.8,104.4,0.6,145.7
55,-2,3,249.8,103.8,0.6,145.4
56,-2,3,254.1,105.5,0.7,147.9
57,-2,2,252.3,103.1,0.5,148.6
58,-2,2,255.3,104.3,0.5,150.5
59,-2,2,269.7,107.6,0.4,161.7
60,-2,3,250.7,104.1,0.6,146.0
61,-2,3,256.8,104.6,0.8,151.4
62,-2,3,251.4,103.5,0.5,147.5
63,-2,5,226.7,97.8,0.9,128.0
64,-2,5,232.3,100.4,0.5,131.4
65,-2,5,237.9,102.0,0.7,135.2
66,-2,8,220.7,101.5,0.5,118.6
67,-2,8,223.2,101.8,1.0,120.5
68,-2,8,232.3,105.6,0.6,126.1
69,-2,15,185.6,98.0,0.5,87.1
70,-2,15,206.5,103.7,0.5,102.2
71,-2,15,200.1,102.0,0.6,97.5
72,-2,11,214.9,103.7,0.8,110.4
73,-2,11,211.9,101.9,0.4,109.7
74,-2,11,212.5,101.5,0.8,110.2
75,-2,2,252.0,102.1,0.5,149.4
76,-2,2,257.3,104.0,0.8,152.5
77,-2,2,259.2,104.4,0.6,154.1
78,-2,4,247.8,103.7,0.8,143.3
79,-2,4,238.8,102.1,0.5,136.2
80,-2,4,244.2,103.3,1.1,139.8
81,-2,10,214.4,102.4,0.8,111.3
82,-2,10,225.5,104.7,0.8,120.0
83,-2,10,213.7,101.7,0.8,111.2
84,-2,8,231.5,104.6,0.5,126.4
85,-2,8,232.9,105.6,0.3,127.1
86,-2,8,237.9,105.3,0.8,131.8
87,-2,0,258.6,101.4,0.7,156.4
88,-2,0,267.2,104.2,0.6,162.3
89,-2,0,273.7,104.9,0.6,168.2
90,-2,2,261.6,105.4,0.8,155.4
91,-2,2,256.0,104.2,0.5,151.4
92,-2,2,257.4,103.9,0.4,153.0
93,-2,8,229.3,104.8,0.7,123.8
94,-2,8,220.9,101.2,0.6,119.0
95,-2,8,215.2,100.2,0.7,114.3
96,-2,1,246.6,100.3,0.6,145.8
97,-2,1,255.9,103.0,0.7,152.2
98,-2,1,260.8,103.8,0.5,156.4
99,-2,18,187.8,99.6,1.1,87.0
100,-2,18,195.3,104.6,0.8,89.9
101,-2,18,175.6,94.9,0.7,80.0
102,-2,9,225.0,103.8,0.9,120.3
103,-2,9,221.1,102.1,0.7,118.3
104,-2,9,229.9,106.5,0.7,122.7
105,-2,3,253.3,103.9,1.2,148.3
106,-2,3,240.9,99.7,0.7,140.5
107,-2,3,264.6,107.6,0.6,156.4
108,-2,8,242.5,108.6,0.7,133.2
109,-2,8,219.4,102.2,0.7,116.5
110,-2,8,214.3,101.1,0.5,112.8
111,-2,2,268.4,107.4,0.7,160.3
112,-2,2,250.2,102.3,0.8,147.1
113,-2,2,247.9,101.3,1.1,145.4
114,-2,7,235.1,104.3,0.9,129.9
115,-2,7,231.3,103.3,0.8,127.1
116,-2,7,241.5,106.8,0.8,133.9
117,-2,12,209.5,103.8,0.8,105.0
118,-2,12,197.0,98.4,0.7,97.9
119,-2,12,216.1,105.9,0.8,109.5
120,9,6,185.2,103.6,0.9,80.7
121,9,6,174.7,99.4,0.9,74.4
122,9,6,188.3,104.7,1.2,82.4
123,9,10,174.6,105.4,1.0,68.2
124,9,10,181.4,108.6,1.2,71.6
125,9,10,171.6,104.4,1.6,65.5
126,9,0,224.1,107.2,0.6,116.3
127,9,0,205.8,102.4,0.8,102.7
128,9,0,205.8,102.7,0.4,102.7
129,9,13,152.4,97.8,2.2,52.5
130,9,13,157.4,101.8,2.1,53.5
131,9,13,163.2,105.0,1.6,56.5
132,9,0,222.8,107.5,0.6,114.7
133,9,0,217.8,105.7,0.6,111.5
134,9,0,203.7,102.0,0.7,101.0
135,9,16,155.7,102.8,2.4,50.5
136,9,16,144.8,100.0,2.5,42.3
137,9,16,157.6,102.7,2.7,52.3
138,9,5,186.9,103.2,1.2,82.4
139,9,5,198.2,106.3,1.1,90.9
140,9,5,184.5,102.4,0.8,81.2
141,9,0,207.1,102.7,0.9,103.5
142,9,0,213.4,104.5,0.5,108.5
143,9,0,222.9,107.5,0.8,114.6
144,9,2,196.1,101.8,0.7,93.6
145,9,2,211.0,105.2,0.8,105.0
146,9,2,221.9,109.0,0.6,112.3
147,9,17,142.2,96.5,2.9,42.8
148,9,17,158.1,104.6,2.6,50.9
149,9,17,153.1,101.9,2.8,48.3
150,9,13,157.6,103.0,1.9,52.7
151,9,13,159.5,102.1,1.9,55.5
152,9,13,165.9,105.3,2.0,58.6
153,9,0,217.8,105.4,0.5,112.0
154,9,0,218.2,104.7,1.0,112.6
155,9,0,221.3,106.1,0.9,114.3
156,9,4,185.9,101.9,0.8,83.2
157,9,4,190.5,103.2,1.2,86.2
158,9,4,207.9,107.5,1.1,99.4
159,9,10,187.0,109.0,1.3,76.7
160,9,10,183.9,108.2,1.2,74.5
161,9,10,193.3,111.0,1.1,81.3
162,9,6,184.2,104.8,0.8,78.5
163,9,6,200.0,109.5,0.9,89.6
164,9,6,193.3,104.9,1.0,87.4
165,9,3,202.4,105.7,0.7,96.0
166,9,3,194.7,102.7,1.0,90.9
167,9,3,193.6,102.0,0.7,90.9
168,9,13,171.6,106.4,1.7,63.6
169,9,13,162.8,103.9,1.9,57.0
170,9,13,157.3,102.8,2.1,52.4
171,9,8,176.9,104.1,1.1,71.7
172,9,8,186.5,107.4,0.9,78.1
173,9,8,176.4,104.3,1.4,70.7
174,9,3,197.1,103.8,0.8,92.6
175,9,3,203.3,104.6,1.0,97.6
176,9,3,203.0,104.1,0.8,98.1
177,9,2,205.3,103.9,0.9,100.5
178,9,2,205.9,103.7,0.7,101.5
179,9,2,206.6,103.9,0.8,101.9
180,9,3,212.5,107.3,0.9,104.3
181,9,3,201.2,105.0,0.6,95.6
182,9,3,205.8,106.4,0.9,98.5
183,9,5,181.3,100.8,1.1,79.5
184,9,5,198.3,106.4,0.9,91.0
185,9,5,189.9,104.3,1.0,84.6
186,9,8,189.7,108.1,0.8,80.9
187,9,8,183.0,106.4,0.8,75.7
188,9,8,190.9,107.1,1.0,82.8
189,9,15,141.7,95.4,2.7,43.6
190,9,15,158.3,104.6,2.5,51.2
191,9,15,148.6,99.4,2.7,46.5
192,9,11,169.0,104.7,1.6,62.8
193,9,11,172.1,104.1,1.3,66.7
194,9,11,165.3,103.7,1.3,60.3
195,9,2,201.4,104.5,0.5,96.4
196,9,2,205.0,105.2,0.5,99.3
197,9,2,199.3,102.8,0.8,95.6
198,9,4,197.6,104.7,0.6,92.3
199,9,4,188.7,102.0,0.8,85.9
200,9,4,199.1,105.4,0.6,93.1
201,9,10,161.3,100.6,1.5,59.2
202,9,10,161.1,101.9,1.5,57.8
203,9,10,172.1,105.0,1.1,66.0
204,9,8,183.5,106.2,1.1,76.2
205,9,8,175.8,102.8,1.1,71.9
206,9,8,182.3,105.6,1.4,75.3
207,9,0,211.4,104.5,0.6,106.3
208,9,0,213.5,103.5,1.1,109.0
209,9,0,222.9,107.1,0.5,115.3
210,9,2,190.6,101.6,0.7,88.3
211,9,2,206.2,105.3,0.5,100.3
212,9,2,211.6,105.4,0.7,105.4
213,9,8,180.9,105.8,1.0,74.1
214,9,8,179.3,104.0,1.2,74.2
215,9,8,174.1,102.3,1.2,70.6
216,9,1,189.5,98.4,0.6,90.5
217,9,1,209.2,104.5,0.8,104.0
218,9,1,200.6,102.4,0.6,97.6
219,9,18,149.3,98.9,3.0,47.5
220,9,18,145.3,99.1,3.2,43.0
221,9,18,144.4,98.9,3.3,42.3
222,9,9,175.0,104.2,1.4,69.3
223,9,9,177.4,104.2,1.3,72.0
224,9,9,170.4,104.1,1.2,65.0
225,9,3,208.7,107.3,0.8,100.6
226,9,3,188.5,100.5,0.7,87.2
227,9,3,186.5,100.4,0.8,85.3
228,9,8,170.1,101.6,1.2,67.3
229,9,8,183.0,104.9,1.2,76.9
230,9,8,188.2,107.9,1.0,79.3
231,9,2,205.8,105.0,0.7,100.1
232,9,2,208.8,107.6,0.9,100.3
233,9,2,202.8,103.9,0.8,98.1
234,9,7,180.0,103.0,0.9,76.0
235,9,7,195.5,108.6,0.8,86.1
236,9,7,167.0,99.2,0.8,67.0
237,9,12,166.1,104.9,1.8,59.3
238,9,12,170.6,107.4,1.8,61.4
239,9,12,167.1,105.5,1.6,60.0
240,13,6,157.3,100.4,1.3,55.5
241,13,6,177.0,106.6,1.6,68.8
242,13,6,178.5,106.9,1.5,70.1
243,13,10,167.5,108.4,2.0,57.1
244,13,10,155.9,105.5,2.3,48.1
245,13,10,152.6,103.0,2.3,47.4
246,13,0,202.1,107.1,1.0,94.0
247,13,0,194.1,104.1,0.8,89.2
248,13,0,186.5,102.0,0.9,83.7
249,13,13,149.0,105.6,2.7,40.6
250,13,13,150.7,103.3,3.8,43.6
251,13,13,142.1,102.7,3.2,36.2
252,13,0,194.3,103.4,0.8,90.1
253,13,0,192.2,103.6,0.9,87.8
254,13,0,187.4,102.5,1.0,83.9
255,13,16,146.7,104.0,4.2,38.5
256,13,16,145.3,102.9,3.7,38.7
257,13,16,134.1,99.3,4.6,30.2
258,13,5,174.8,104.4,1.7,68.7
259,13,5,176.9,104.8,1.2,70.8
260,13,5,186.8,109.0,1.2,76.6
261,13,0,200.3,106.9,0.8,92.6
262,13,0,208.1,108.8,0.5,98.7
263,13,0,190.2,104.4,0.8,85.0
264,13,2,180.3,103.8,1.1,75.4
265,13,2,173.5,101.6,0.8,71.1
266,13,2,194.1,106.3,0.9,86.9
267,13,17,144.2,104.5,3.9,35.9
268,13,17,141.4,102.7,4.0,34.7
269,13,17,142.4,102.0,4.3,36.1
270,13,13,142.3,101.0,3.2,38.2
271,13,13,142.6,101.0,3.4,38.2
272,13,13,145.5,103.2,2.6,39.7
273,13,0,182.8,100.8,0.9,81.1
274,13,0,201.4,107.2,0.5,93.8
275,13,0,204.4,107.0,0.9,96.5
276,13,4,167.9,102.4,1.4,64.2
277,13,4,164.4,99.4,1.2,63.8
278,13,4,166.3,100.0,1.8,64.5
279,13,10,161.5,106.1,2.5,52.9
280,13,10,156.3,104.8,1.9,49.6
281,13,10,158.1,104.0,2.2,51.8
282,13,6,157.0,98.9,1.8,56.3
283,13,6,174.7,105.7,1.3,67.7
284,13,6,172.1,104.2,1.6,66.4
285,13,3,190.6,107.6,1.0,82.0
286,13,3,177.4,102.5,1.4,73.5
287,13,3,176.8,102.3,1.2,73.4
288,13,13,150.8,104.6,2.8,43.3
289,13,13,152.2,104.1,3.0,45.1
290,13,13,143.6,103.4,3.0,37.3
291,13,8,171.8,108.7,1.4,61.7
292,13,8,167.3,106.2,1.8,59.4
293,13,8,162.5,104.6,1.9,56.0
294,13,3,177.3,103.6,0.9,72.9
295,13,3,184.1,104.9,1.3,77.9
296,13,3,172.1,101.5,1.1,69.5
297,13,2,187.0,105.2,0.9,80.9
298,13,2,185.9,106.1,0.9,78.9
299,13,2,180.0,102.7,1.1,76.2
300,13,3,172.5,102.6,0.8,69.1
301,13,3,178.2,102.8,1.0,74.4
302,13,3,179.4,102.7,0.9,75.9
303,13,5,174.4,104.4,1.4,68.7
304,13,5,171.2,102.7,1.5,67.0
305,13,5,185.7,107.1,1.1,77.4
306,13,8,157.8,103.6,2.0,52.2
307,13,8,148.0,99.3,2.4,46.3
308,13,8,163.9,104.5,1.7,57.7
309,13,15,149.0,105.0,3.2,40.7
310,13,15,144.7,104.6,3.4,36.7
311,13,15,145.5,102.9,3.3,39.2
312,13,11,146.9,101.0,3.0,42.9
313,13,11,161.3,107.3,2.0,51.9
314,13,11,153.6,101.6,2.6,49.3
315,13,2,176.6,101.0,0.9,74.6
316,13,2,185.6,104.3,0.8,80.5
317,13,2,193.4,106.9,1.0,85.5
318,13,4,185.3,106.7,1.0,77.5
319,13,4,181.5,105.8,1.0,74.7
320,13,4,173.0,103.6,1.0,68.4
321,13,10,164.6,108.7,1.6,54.3
322,13,10,153.5,102.6,2.4,48.5
323,13,10,162.7,105.3,2.6,54.8
324,13,8,163.7,105.2,1.8,56.8
325,13,8,163.9,105.7,1.7,56.5
