,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
0,113,0,186.9,104.4,82.6,0.0
1,113,0,189.9,109.0,80.9,0.0
2,113,0,191.4,111.2,80.2,0.0
3,113,0,188.9,107.4,81.5,0.0
4,113,0,190.6,109.5,81.1,0.0
5,113,0,191.9,111.1,80.8,0.0
6,113,3,192.2,107.6,84.6,0.0
7,113,3,193.2,108.8,84.3,0.0
8,113,3,192.2,108.0,84.2,0.0
9,113,1,190.0,108.7,81.3,0.0
10,113,1,186.6,101.9,84.7,0.0
11,113,1,190.5,108.2,82.2,0.0
12,113,4,190.6,104.3,86.3,0.0
13,113,4,193.9,108.8,85.2,0.0
14,113,4,194.1,109.4,84.7,0.0
15,113,2,192.0,108.6,83.4,0.0
16,113,2,188.8,103.2,85.6,0.0
17,113,2,192.1,110.0,82.1,0.0
18,113,1,192.7,112.0,80.7,0.0
19,113,1,189.4,106.0,83.4,0.0
20,113,1,189.6,106.3,83.2,0.0
21,113,4,192.1,106.1,86.0,0.0
22,113,4,193.7,109.7,83.9,0.0
23,113,4,191.9,106.2,85.8,0.0
24,113,4,193.8,108.0,85.7,0.0
25,113,4,194.9,110.8,84.1,0.0
26,113,4,195.2,110.8,84.5,0.0
27,113,1,190.5,109.0,81.5,0.0
28,113,1,192.0,109.1,82.8,0.0
29,113,1,189.7,107.7,82.0,0.0
30,237,0,315.7,110.2,205.5,0.0
31,237,0,312.5,106.7,205.8,0.0
32,237,0,314.2,109.5,204.7,0.0
33,237,0,315.9,111.0,204.8,0.0
34,237,0,315.2,109.4,205.8,0.0
35,237,0,314.3,109.2,205.0,0.0
36,237,3,316.4,107.5,208.8,0.0
37,237,3,319.1,113.2,205.9,0.0
38,237,3,320.1,113.8,206.3,0.0
39,237,1,315.1,110.7,204.4,0.0
40,237,1,317.3,112.2,205.1,0.0
41,237,1,315.7,109.8,205.9,0.0
42,237,4,319.0,110.0,208.9,0.0
43,237,4,321.2,114.2,207.0,0.0
44,237,4,318.7,110.6,208.1,0.0
45,237,2,317.0,109.6,207.4,0.0
46,237,2,317.5,110.4,207.2,0.0
47,237,2,317.1,108.9,208.2,0.0
48,237,1,318.6,114.5,204.1,0.0
49,237,1,316.4,110.3,206.1,0.0
50,237,1,313.5,105.0,208.5,0.0
51,237,4,318.9,110.4,208.5,0.0
52,237,4,318.5,109.9,208.6,0.0
53,237,4,320.8,113.1,207.7,0.0
