,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost,,Stats Table,,,,,,,,
0,-18,18,270.5,103,0.7,166.7,,Total Orders,20,48720,,,,,,
1,-18,18,264.4,98,0.8,165.7,,Total Costs,420,,,,,,,
2,-18,18,264.8,100.7,0.9,163.2,,Stock Need,0,,,,,,,
3,-18,14,280.2,102.8,0.5,176.9,,Stock Size,19,,,,,,,
4,-18,14,278.7,102.8,0.7,175.2,,Bottle Cost,21,,,,,,,
5,-18,14,272.6,100.5,0.4,171.6,,Total Cash Held,420,Per,0,Unit,,,,
6,-18,17,269,98.9,0.5,169.6,,,Max Cost,355.5,Per,17.775,Unit,,,
7,-18,17,274.7,105,0.4,169.3,,,,Max Sale,16.08214286,Per,15.40217633,Unit Price,,
8,-18,17,254.5,96.6,0.7,157.2,,,,,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
9,-18,11,300.6,105.3,0.5,194.9,,,Max Row,19,-18,0,355.5,107.2,0.5,247.7
10,-18,11,302.1,107.8,0.6,193.7,,,Min Row,2887,0,17,171.5,96.8,1,73.6
11,-18,11,295.8,103.9,0.5,191.3,,,,2880,0,18,186.9,102.9,1.1,82.9
12,-18,13,281.6,102.5,0.6,178.5,,,,2881,0,18,176.1,98.2,1.3,76.7
13,-18,13,287.2,103.4,0.7,183.1,,,,2882,0,18,176.4,98.2,1.1,77.1
14,-18,13,294.2,105.9,0.5,187.7,,,,2883,0,14,183.9,98.8,0.9,84.2
15,-18,2,337.7,103.8,0.3,233.7,,,,2884,0,14,195.3,103.8,0.9,90.6
16,-18,2,330.8,102.4,0.5,227.8,,,,2885,0,14,188,101.6,0.7,85.8
17,-18,2,341.6,107.1,0.6,233.9,,,,2886,0,17,174.6,98.9,1.3,74.3
18,-18,0,330.9,99.4,0.8,230.7,,,,2887,0,17,171.5,96.8,1,73.6
19,-18,0,355.5,107.2,0.5,247.7,,,,2888,0,17,193.8,103.2,0.8,89.8
20,-18,0,329,98.7,0.7,229.6,,,,2889,0,11,197.8,101.7,1.1,95.1
21,-18,7,315.2,106.2,0.6,208.3,,,,2890,0,11,196.8,100.6,0.7,95.5
22,-18,7,313.3,104.2,0.7,208.4,,,,2891,0,11,196.1,99.5,1.2,95.4
23,-18,7,308.1,104.2,0.5,203.5,,,,2892,0,13,196.7,102.5,0.7,93.5
