,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
0,372,3,455.6,112.8,342.8,0.0
1,372,3,455.4,114.2,341.1,0.0
2,372,3,455.6,113.4,342.2,0.0
3,372,1,452.7,112.4,340.3,0.0
4,372,1,452.6,111.7,340.9,0.0
5,372,1,453.4,113.8,339.7,0.0
6,372,2,453.1,111.3,341.8,0.0
7,372,2,454.2,111.5,342.7,0.0
8,372,2,455.9,115.8,340.1,0.0
9,372,2,455.2,115.2,340.1,0.0
10,372,2,456.1,115.1,341.0,0.0
11,372,2,454.4,114.8,339.7,0.0
12,372,1,452.8,113.0,339.9,0.0
13,372,1,454.1,114.7,339.4,0.0
14,372,1,455.9,116.7,339.2,0.0
15,372,1,454.0,113.8,340.3,0.0
16,372,1,455.0,115.4,339.6,0.0
17,372,1,452.9,113.0,340.0,0.0
18,372,3,456.8,114.9,341.9,0.0
19,372,3,456.5,115.5,341.0,0.0
20,372,3,458.6,118.3,340.3,0.0
21,372,1,453.2,112.5,340.7,0.0
22,372,1,455.0,115.6,339.4,0.0
23,372,1,454.0,114.1,339.9,0.0
24,372,3,455.3,113.6,341.7,0.0
25,372,3,459.4,118.9,340.5,0.0
26,372,3,454.9,113.3,341.6,0.0
27,372,4,458.7,116.6,342.1,0.0
28,372,4,457.6,115.7,341.9,0.0
29,372,4,455.6,111.4,344.2,0.0
30,462,3,545.9,115.2,430.7,0.0
31,462,3,549.1,117.7,431.4,0.0
32,462,3,548.5,118.6,429.9,0.0
33,462,1,545.4,115.4,430.0,0.0
34,462,1,544.1,114.2,429.9,0.0
35,462,1,542.5,112.6,429.9,0.0
36,462,2,547.0,118.1,428.9,0.0
37,462,2,545.7,114.7,431.0,0.0
38,462,2,546.9,116.8,430.1,0.0
39,462,2,549.1,121.3,427.8,0.0
40,462,2,544.4,113.8,430.6,0.0
41,462,2,546.7,116.8,430.0,0.0
42,462,1,544.7,115.6,429.1,0.0
43,462,1,541.6,111.5,430.1,0.0
44,462,1,544.2,116.9,427.3,0.0
45,462,1,546.8,120.3,426.5,0.0
46,462,1,546.0,115.4,430.5,0.0
47,462,1,545.6,115.8,429.8,0.0
48,462,3,545.6,111.4,434.3,0.0
49,462,3,547.4,118.3,429.1,0.0
50,462,3,544.7,112.5,432.2,0.0
51,462,1,546.8,119.4,427.3,0.0
52,462,1,547.8,119.8,428.0,0.0
53,462,1,547.8,119.4,428.4,0.0
54,462,3,548.4,119.1,429.3,0.0
55,462,3,545.6,114.8,430.7,0.0
56,462,3,548.0,116.0,432.0,0.0
57,462,4,550.7,118.4,432.2,0.0
58,462,4,548.0,115.6,432.5,0.0
59,462,4,550.2,117.9,432.3,0.0
60,1084,3,1183.5,133.3,1050.2,0.0
61,1084,3,1179.6,127.8,1051.8,0.0
62,1084,3,1181.2,131.8,1049.4,0.0
63,1084,1,1181.1,132.5,1048.6,0.0
64,1084,1,1177.0,129.4,1047.6,0.0
65,1084,1,1179.2,131.5,1047.8,0.0
66,1084,2,1183.5,133.7,1049.8,0.0
67,1084,2,1178.0,130.0,1048.0,0.0
68,1084,2,1178.1,130.8,1047.4,0.0
69,1084,2,1177.6,131.4,1046.2,0.0
70,1084,2,1182.5,134.8,1047.6,0.0
71,1084,2,1178.9,128.4,1050.4,0.0
72,1084,1,1176.2,129.9,1046.3,0.0
73,1084,1,1180.2,132.4,1047.8,0.0
74,1084,1,1178.1,131.4,1046.7,0.0
75,1084,1,1177.6,130.7,1046.9,0.0
76,1084,1,1177.4,132.4,1045.0,0.0
77,1084,1,1178.3,132.3,1046.0,0.0
78,1084,3,1180.2,132.2,1048.1,0.0
79,1084,3,1178.3,132.4,1045.9,0.0
80,1084,3,1182.6,134.5,1048.1,0.0
81,1084,1,1177.7,128.2,1049.5,0.0
82,1084,1,1178.5,131.6,1046.9,0.0
83,1084,1,1177.0,128.2,1048.8,0.0
84,1084,3,1183.3,133.3,1049.9,0.0
85,1084,3,1179.0,129.6,1049.4,0.0
86,1084,3,1180.8,133.8,1046.9,0.0
87,1084,4,1181.8,130.2,1051.6,0.0
88,1084,4,1182.1,133.2,1049.0,0.0
89,1084,4,1182.9,136.3,1046.6,0.0
90,736,3,823.9,120.7,703.2,0.0
91,736,3,826.6,123.5,703.1,0.0
92,736,3,824.8,121.5,703.2,0.0
93,736,1,825.6,123.0,702.6,0.0
94,736,1,825.6,125.8,699.8,0.0
95,736,1,824.5,122.4,702.1,0.0
96,736,2,826.2,124.5,701.7,0.0
97,736,2,826.4,122.6,703.8,0.0
98,736,2,826.7,122.7,704.0,0.0
99,736,2,826.7,124.4,702.2,0.0
100,736,2,828.3,124.2,704.1,0.0
101,736,2,824.6,121.6,702.9,0.0
102,736,1,824.5,123.0,701.5,0.0
103,736,1,824.2,124.0,700.1,0.0
104,736,1,829.0,130.1,698.9,0.0
105,736,1,823.3,121.4,701.8,0.0
106,736,1,824.0,121.9,702.1,0.0
107,736,1,825.8,127.5,698.3,0.0
108,736,3,825.1,121.6,703.5,0.0
109,736,3,825.7,120.8,704.8,0.0
110,736,3,823.7,121.3,702.4,0.0
111,736,1,825.5,123.1,702.4,0.0
112,736,1,822.4,118.8,703.6,0.0
113,736,1,827.5,127.1,700.4,0.0
114,736,3,829.0,128.3,700.8,0.0
115,736,3,828.7,125.8,702.9,0.0
116,736,3,828.8,126.2,702.6,0.0
117,736,4,827.5,123.7,703.8,0.0
118,736,4,829.3,124.9,704.4,0.0
119,736,4,826.6,120.2,706.5,0.0
120,337,3,422.2,115.5,306.7,0.0
121,337,3,420.4,113.1,307.3,0.0
122,337,3,423.3,119.4,303.9,0.0
123,337,1,419.8,117.2,302.6,0.0
124,337,1,417.8,112.6,305.1,0.0
125,337,1,418.7,114.4,304.3,0.0
126,337,2,419.7,113.4,306.2,0.0
127,337,2,418.2,110.8,307.4,0.0
128,337,2,420.2,116.0,304.2,0.0
129,337,2,422.4,116.1,306.3,0.0
130,337,2,417.2,110.0,307.2,0.0
131,337,2,418.8,112.4,306.4,0.0
132,337,1,417.9,112.4,305.5,0.0
133,337,1,417.6,112.6,305.0,0.0
134,337,1,417.8,112.5,305.4,0.0
135,337,1,417.9,112.2,305.6,0.0
136,337,1,417.0,112.0,305.0,0.0
137,337,1,420.0,115.0,305.0,0.0
138,337,3,421.8,115.0,306.8,0.0
139,337,3,416.3,108.4,308.0,0.0
140,337,3,420.2,113.8,306.4,0.0
141,337,1,417.6,110.7,306.9,0.0
142,337,1,418.3,113.5,304.8,0.0
143,337,1,419.2,115.1,304.1,0.0
144,337,3,422.4,116.4,306.0,0.0
145,337,3,421.9,115.7,306.2,0.0
146,337,3,420.3,113.4,306.9,0.0
147,337,4,421.1,114.9,306.2,0.0
148,337,4,421.1,113.6,307.5,0.0
149,337,4,420.8,112.2,308.6,0.0
150,623,3,712.9,122.6,590.3,0.0
151,623,3,710.2,120.0,590.2,0.0
152,623,3,710.2,119.2,591.0,0.0
153,623,1,707.3,117.8,589.5,0.0
154,623,1,708.3,119.4,588.9,0.0
155,623,1,711.2,122.4,588.8,0.0
156,623,2,711.2,120.0,591.3,0.0
157,623,2,709.7,119.4,590.3,0.0
158,623,2,710.0,118.2,591.8,0.0
159,623,2,711.2,120.6,590.6,0.0
160,623,2,710.0,119.6,590.5,0.0
161,623,2,710.0,118.2,591.9,0.0
162,623,1,708.6,119.1,589.5,0.0
163,623,1,707.8,117.3,590.5,0.0
164,623,1,710.2,120.9,589.3,0.0
165,623,1,708.5,119.7,588.8,0.0
166,623,1,706.5,116.5,590.0,0.0
167,623,1,709.4,119.8,589.5,0.0
168,623,3,712.8,120.6,592.2,0.0
169,623,3,711.4,119.8,591.6,0.0
170,623,3,712.4,121.6,590.8,0.0
171,623,1,708.1,121.0,587.0,0.0
172,623,1,709.3,120.2,589.1,0.0
173,623,1,710.2,123.4,586.9,0.0
174,623,3,712.0,122.4,589.6,0.0
175,623,3,712.5,121.7,590.7,0.0
176,623,3,710.7,118.2,592.5,0.0
177,623,4,713.7,122.1,591.5,0.0
178,623,4,711.6,119.4,592.2,0.0
179,623,4,712.1,119.8,592.4,0.0
180,668,3,758.6,123.2,635.5,0.0
181,668,3,756.3,119.9,636.4,0.0
182,668,3,758.2,124.0,634.2,0.0
183,668,1,755.5,123.0,632.4,0.0
184,668,1,756.3,119.6,636.7,0.0
185,668,1,756.8,124.4,632.4,0.0
186,668,2,756.4,122.6,633.8,0.0
187,668,2,756.3,121.8,634.5,0.0
188,668,2,757.2,122.8,634.4,0.0
189,668,2,757.9,122.8,635.1,0.0
190,668,2,756.9,123.2,633.7,0.0
191,668,2,758.6,123.6,635.0,0.0
192,668,1,755.5,121.1,634.5,0.0
193,668,1,755.2,121.4,633.8,0.0
194,668,1,755.9,122.4,633.5,0.0
195,668,1,753.2,120.2,633.0,0.0
196,668,1,756.9,125.2,631.7,0.0
197,668,1,754.6,121.0,633.5,0.0
198,668,3,757.3,120.3,637.0,0.0
199,668,3,759.4,123.3,636.2,0.0
200,668,3,755.3,118.1,637.1,0.0
201,668,1,757.5,125.5,632.0,0.0
202,668,1,755.8,122.0,633.8,0.0
203,668,1,752.7,117.9,634.8,0.0
204,668,3,756.1,120.2,635.9,0.0
205,668,3,756.7,121.6,635.1,0.0
206,668,3,758.2,122.7,635.4,0.0
207,668,4,758.6,122.9,635.7,0.0
208,668,4,759.3,124.2,635.1,0.0
209,668,4,759.9,122.5,637.4,0.0
210,817,3,910.0,128.2,781.8,0.0
211,817,3,910.4,129.2,781.1,0.0
212,817,3,911.8,127.7,784.1,0.0
213,817,1,906.5,125.0,781.5,0.0
214,817,1,908.6,128.5,780.1,0.0
215,817,1,906.5,123.8,782.7,0.0
216,817,2,908.3,125.2,783.1,0.0
217,817,2,909.9,125.7,784.1,0.0
218,817,2,907.2,125.1,782.1,0.0
219,817,2,907.3,123.6,783.7,0.0
220,817,2,904.3,124.4,779.9,0.0
221,817,2,908.7,126.9,781.8,0.0
222,817,1,904.8,124.6,780.2,0.0
223,817,1,907.1,125.6,781.4,0.0
224,817,1,903.0,120.2,782.9,0.0
225,817,1,906.5,125.5,781.0,0.0
226,817,1,905.9,123.0,782.9,0.0
227,817,1,909.9,127.0,782.9,0.0
228,817,3,907.6,124.5,783.1,0.0
229,817,3,909.0,124.6,784.4,0.0
230,817,3,908.5,127.2,781.3,0.0
231,817,1,907.6,125.8,781.8,0.0
232,817,1,907.3,123.0,784.2,0.0
233,817,1,909.5,129.2,780.2,0.0
234,817,3,907.7,122.4,785.4,0.0
235,817,3,909.1,126.9,782.2,0.0
236,817,3,910.0,129.1,780.9,0.0
237,817,4,910.9,128.4,782.5,0.0
238,817,4,911.4,129.1,782.3,0.0
239,817,4,909.2,123.2,786.0,0.0
240,775,3,866.1,125.8,740.3,0.0
241,775,3,869.0,127.7,741.3,0.0
242,775,3,865.2,123.2,742.0,0.0
243,775,1,866.0,127.7,738.3,0.0
244,775,1,865.3,125.8,739.5,0.0
245,775,1,863.0,123.0,740.0,0.0
246,775,2,866.7,126.2,740.5,0.0
247,775,2,865.4,124.6,740.8,0.0
248,775,2,866.6,125.1,741.5,0.0
249,775,2,864.7,123.7,741.0,0.0
250,775,2,865.4,127.9,737.5,0.0
251,775,2,864.7,124.5,740.2,0.0
252,775,1,863.7,121.0,742.7,0.0
253,775,1,864.8,123.8,741.0,0.0
254,775,1,864.1,124.6,739.6,0.0
255,775,1,866.5,128.1,738.4,0.0
256,775,1,866.3,127.8,738.6,0.0
257,775,1,861.8,123.4,738.4,0.0
258,775,3,863.0,119.7,743.3,0.0
259,775,3,866.9,126.0,741.0,0.0
260,775,3,867.3,123.7,743.5,0.0
261,775,1,861.4,121.5,739.9,0.0
262,775,1,861.9,123.6,738.3,0.0
263,775,1,863.8,124.3,739.5,0.0
264,775,3,865.6,124.2,741.4,0.0
265,775,3,867.8,126.5,741.3,0.0
266,775,3,865.8,124.2,741.6,0.0
267,775,4,867.5,125.8,741.7,0.0
268,775,4,867.3,124.4,743.0,0.0
269,775,4,867.4,125.9,741.5,0.0
270,435,3,520.1,116.4,403.8,0.0
271,435,3,522.3,118.4,403.9,0.0
272,435,3,521.8,119.6,402.1,0.0
273,435,1,515.8,112.2,403.6,0.0
274,435,1,520.0,117.2,402.8,0.0
275,435,1,518.8,115.3,403.5,0.0
276,435,2,518.9,116.1,402.8,0.0
277,435,2,516.5,113.4,403.2,0.0
278,435,2,519.9,119.2,400.7,0.0
279,435,2,520.3,117.6,402.8,0.0
280,435,2,519.5,116.6,403.0,0.0
281,435,2,521.3,118.0,403.2,0.0
282,435,1,518.7,118.6,400.1,0.0
283,435,1,521.8,122.2,399.7,0.0
284,435,1,518.6,115.6,403.0,0.0
285,435,1,518.4,115.2,403.2,0.0
286,435,1,520.2,121.0,399.2,0.0
287,435,1,517.9,115.5,402.4,0.0
288,435,3,520.1,115.9,404.2,0.0
289,435,3,521.5,116.5,405.0,0.0
290,435,3,521.0,118.7,402.3,0.0
291,435,1,516.3,113.2,403.1,0.0
292,435,1,518.7,117.6,401.1,0.0
293,435,1,517.0,113.4,403.6,0.0
294,435,3,518.5,111.9,406.6,0.0
295,435,3,520.9,115.4,405.4,0.0
296,435,3,520.8,118.2,402.7,0.0
297,435,4,520.7,115.8,405.0,0.0
298,435,4,522.9,117.0,405.8,0.0
299,435,4,524.7,120.0,404.7,0.0
