,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
0,[],1,7926.7,0.0,0.7,7926.0
1,[],1,6809.0,0.0,0.5,6808.6
2,[],1,7469.2,0.0,0.6,7468.6
3,[],1,6965.6,0.0,0.7,6964.9
4,[],1,7146.9,0.0,0.6,7146.3
5,[],1,6962.5,0.0,0.7,6961.8
6,[],1,7587.6,0.0,0.4,7587.2
7,[],1,6631.4,0.0,0.7,6630.7
8,[],1,7349.7,0.0,0.6,7349.2
9,[],1,7143.4,0.0,0.6,7142.8
10,[],1,7527.7,0.0,0.3,7527.4
11,[],1,7467.6,0.0,0.7,7466.9
12,[],1,6667.6,0.0,0.6,6667.0
13,[],1,7609.8,0.0,0.6,7609.2
14,[],1,7642.8,0.0,0.5,7642.3
15,[],2,7710.3,0.0,0.4,7709.9
16,[],2,7550.4,0.0,0.4,7550.0
17,[],2,7201.0,0.0,0.6,7200.4
18,[],2,6814.8,0.0,0.6,6814.1
19,[],2,7250.3,0.0,0.8,7249.5
20,[],2,7260.5,0.0,1.0,7259.5
21,[],2,7234.1,0.0,0.5,7233.6
22,[],2,7000.2,0.0,0.6,6999.6
23,[],2,6857.0,0.0,0.5,6856.6
24,[],2,6758.9,0.0,0.7,6758.3
25,[],2,7085.7,0.0,0.6,7085.1
26,[],2,7285.3,0.0,0.6,7284.7
27,[],2,6680.5,0.0,0.7,6679.7
28,[],2,6789.2,0.0,0.8,6788.3
29,[],2,7221.1,0.0,0.6,7220.5
30,[],1,7652.9,0.0,0.5,7652.4
31,[],1,7607.3,0.0,1.1,7606.2
32,[],1,6648.5,0.0,0.6,6647.9
33,[],1,7496.4,0.0,1.0,7495.4
34,[],1,6922.1,0.0,0.5,6921.6
35,[],1,7167.6,0.0,0.7,7167.0
36,[],1,7454.8,0.0,0.5,7454.3
37,[],1,7103.3,0.0,0.6,7102.7
38,[],1,7589.3,0.0,0.7,7588.6
39,[],1,7452.1,0.0,0.7,7451.4
40,[],1,7240.1,0.0,0.6,7239.5
41,[],1,7543.5,0.0,0.5,7543.0
42,[],1,6710.4,0.0,0.6,6709.8
43,[],1,7376.9,0.0,0.4,7376.5
